question_clean,qtype,focus_area,department
what are the genetic changes related to hereditary pancreatitis,genetic,hereditary pancreatitis,Gastroenterology & Hepatology
is hereditary pancreatitis inherited,genetic,hereditary pancreatitis,Gastroenterology & Hepatology
what are the treatments for hereditary pancreatitis,treatment,hereditary pancreatitis,Gastroenterology & Hepatology
what is alternating hemiplegia of childhood,definition,alternating hemiplegia of childhood,Pediatrics
how many people are affected by alternating hemiplegia of childhood,epidemiology,alternating hemiplegia of childhood,Pediatrics
what are the genetic changes related to alternating hemiplegia of childhood,genetic,alternating hemiplegia of childhood,Pediatrics
is alternating hemiplegia of childhood inherited,genetic,alternating hemiplegia of childhood,Pediatrics
what are the treatments for alternating hemiplegia of childhood,treatment,alternating hemiplegia of childhood,Pediatrics
how many people are affected by partington syndrome,epidemiology,Partington syndrome,Genetics & Rare Diseases
what are the genetic changes related to partington syndrome,genetic,Partington syndrome,Genetics & Rare Diseases
how many people are affected by ewing sarcoma,epidemiology,Ewing sarcoma,Oncology
what are the genetic changes related to ewing sarcoma,genetic,Ewing sarcoma,Oncology
what are the treatments for ewing sarcoma,treatment,Ewing sarcoma,Oncology
how many people are affected by taysachs disease,epidemiology,Tay-Sachs disease,General Medicine & Public Health
what are the genetic changes related to taysachs disease,genetic,Tay-Sachs disease,General Medicine & Public Health
what is glycogen storage disease type i,definition,glycogen storage disease type I,Endocrinology & Metabolism
how many people are affected by glycogen storage disease type i,epidemiology,glycogen storage disease type I,Endocrinology & Metabolism
what are the genetic changes related to glycogen storage disease type i,genetic,glycogen storage disease type I,Endocrinology & Metabolism
is glycogen storage disease type i inherited,genetic,glycogen storage disease type I,Endocrinology & Metabolism
what are the treatments for glycogen storage disease type i,treatment,glycogen storage disease type I,Endocrinology & Metabolism
what is beta thalassemia,definition,beta thalassemia,Hematology
how many people are affected by beta thalassemia,epidemiology,beta thalassemia,Hematology
what are the genetic changes related to beta thalassemia,genetic,beta thalassemia,Hematology
is beta thalassemia inherited,genetic,beta thalassemia,Hematology
what are the treatments for beta thalassemia,treatment,beta thalassemia,Hematology
what is leigh syndrome,definition,Leigh syndrome,Neurology
how many people are affected by leigh syndrome,epidemiology,Leigh syndrome,Neurology
what are the genetic changes related to leigh syndrome,genetic,Leigh syndrome,Neurology
is leigh syndrome inherited,genetic,Leigh syndrome,Neurology
what are the treatments for leigh syndrome,treatment,Leigh syndrome,Neurology
how many people are affected by majeed syndrome,epidemiology,Majeed syndrome,Genetics & Rare Diseases
what are the genetic changes related to majeed syndrome,genetic,Majeed syndrome,Genetics & Rare Diseases
what is renal coloboma syndrome,definition,renal coloboma syndrome,Nephrology & Urology
how many people are affected by renal coloboma syndrome,epidemiology,renal coloboma syndrome,Nephrology & Urology
what are the genetic changes related to renal coloboma syndrome,genetic,renal coloboma syndrome,Nephrology & Urology
is renal coloboma syndrome inherited,genetic,renal coloboma syndrome,Nephrology & Urology
what are the treatments for renal coloboma syndrome,treatment,renal coloboma syndrome,Nephrology & Urology
what is 22q112 duplication,definition,22q11.2 duplication,General Medicine & Public Health
how many people are affected by 22q112 duplication,epidemiology,22q11.2 duplication,General Medicine & Public Health
what are the genetic changes related to 22q112 duplication,genetic,22q11.2 duplication,General Medicine & Public Health
is 22q112 duplication inherited,genetic,22q11.2 duplication,General Medicine & Public Health
what are the treatments for 22q112 duplication,treatment,22q11.2 duplication,General Medicine & Public Health
what is short qt syndrome,definition,short QT syndrome,Cardiology
how many people are affected by short qt syndrome,epidemiology,short QT syndrome,Cardiology
what are the genetic changes related to short qt syndrome,genetic,short QT syndrome,Cardiology
is short qt syndrome inherited,genetic,short QT syndrome,Cardiology
what are the treatments for short qt syndrome,treatment,short QT syndrome,Cardiology
what is congenital hemidysplasia with ichthyosiform erythroderma and limb defects,definition,congenital hemidysplasia with ichthyosiform erythroderma and limb defects,Dermatology
how many people are affected by congenital hemidysplasia with ichthyosiform erythroderma and limb defects,epidemiology,congenital hemidysplasia with ichthyosiform erythroderma and limb defects,Dermatology
what are the genetic changes related to congenital hemidysplasia with ichthyosiform erythroderma and limb defects,genetic,congenital hemidysplasia with ichthyosiform erythroderma and limb defects,Dermatology
is congenital hemidysplasia with ichthyosiform erythroderma and limb defects inherited,genetic,congenital hemidysplasia with ichthyosiform erythroderma and limb defects,Dermatology
what are the treatments for congenital hemidysplasia with ichthyosiform erythroderma and limb defects,treatment,congenital hemidysplasia with ichthyosiform erythroderma and limb defects,Dermatology
what is congenital leptin deficiency,definition,congenital leptin deficiency,Genetics & Rare Diseases
how many people are affected by congenital leptin deficiency,epidemiology,congenital leptin deficiency,Genetics & Rare Diseases
what are the genetic changes related to congenital leptin deficiency,genetic,congenital leptin deficiency,Genetics & Rare Diseases
is congenital leptin deficiency inherited,genetic,congenital leptin deficiency,Genetics & Rare Diseases
what are the treatments for congenital leptin deficiency,treatment,congenital leptin deficiency,Genetics & Rare Diseases
what is lysinuric protein intolerance,definition,lysinuric protein intolerance,General Medicine & Public Health
how many people are affected by lysinuric protein intolerance,epidemiology,lysinuric protein intolerance,General Medicine & Public Health
what are the genetic changes related to lysinuric protein intolerance,genetic,lysinuric protein intolerance,General Medicine & Public Health
is lysinuric protein intolerance inherited,genetic,lysinuric protein intolerance,General Medicine & Public Health
what are the treatments for lysinuric protein intolerance,treatment,lysinuric protein intolerance,General Medicine & Public Health
what is betaketothiolase deficiency,definition,beta-ketothiolase deficiency,General Medicine & Public Health
how many people are affected by betaketothiolase deficiency,epidemiology,beta-ketothiolase deficiency,General Medicine & Public Health
what are the genetic changes related to betaketothiolase deficiency,genetic,beta-ketothiolase deficiency,General Medicine & Public Health
is betaketothiolase deficiency inherited,genetic,beta-ketothiolase deficiency,General Medicine & Public Health
what are the treatments for betaketothiolase deficiency,treatment,beta-ketothiolase deficiency,General Medicine & Public Health
what is hypermanganesemia with dystonia polycythemia and cirrhosis,definition,"hypermanganesemia with dystonia, polycythemia, and cirrhosis",Neurology
how many people are affected by hypermanganesemia with dystonia polycythemia and cirrhosis,epidemiology,"hypermanganesemia with dystonia, polycythemia, and cirrhosis",Neurology
what are the genetic changes related to hypermanganesemia with dystonia polycythemia and cirrhosis,genetic,"hypermanganesemia with dystonia, polycythemia, and cirrhosis",Neurology
is hypermanganesemia with dystonia polycythemia and cirrhosis inherited,genetic,"hypermanganesemia with dystonia, polycythemia, and cirrhosis",Neurology
what are the treatments for hypermanganesemia with dystonia polycythemia and cirrhosis,treatment,"hypermanganesemia with dystonia, polycythemia, and cirrhosis",Neurology
what is 1q211 microdeletion,definition,1q21.1 microdeletion,General Medicine & Public Health
how many people are affected by 1q211 microdeletion,epidemiology,1q21.1 microdeletion,General Medicine & Public Health
what are the genetic changes related to 1q211 microdeletion,genetic,1q21.1 microdeletion,General Medicine & Public Health
is 1q211 microdeletion inherited,genetic,1q21.1 microdeletion,General Medicine & Public Health
what are the treatments for 1q211 microdeletion,treatment,1q21.1 microdeletion,General Medicine & Public Health
what is rapidonset dystonia parkinsonism,definition,rapid-onset dystonia parkinsonism,Neurology
how many people are affected by rapidonset dystonia parkinsonism,epidemiology,rapid-onset dystonia parkinsonism,Neurology
what are the genetic changes related to rapidonset dystonia parkinsonism,genetic,rapid-onset dystonia parkinsonism,Neurology
is rapidonset dystonia parkinsonism inherited,genetic,rapid-onset dystonia parkinsonism,Neurology
what are the treatments for rapidonset dystonia parkinsonism,treatment,rapid-onset dystonia parkinsonism,Neurology
what is glucosegalactose malabsorption,definition,glucose-galactose malabsorption,Gastroenterology & Hepatology
how many people are affected by glucosegalactose malabsorption,epidemiology,glucose-galactose malabsorption,Gastroenterology & Hepatology
what are the genetic changes related to glucosegalactose malabsorption,genetic,glucose-galactose malabsorption,Gastroenterology & Hepatology
is glucosegalactose malabsorption inherited,genetic,glucose-galactose malabsorption,Gastroenterology & Hepatology
what are the treatments for glucosegalactose malabsorption,treatment,glucose-galactose malabsorption,Gastroenterology & Hepatology
what is mandibulofacial dysostosis with microcephaly,definition,mandibulofacial dysostosis with microcephaly,General Medicine & Public Health
how many people are affected by mandibulofacial dysostosis with microcephaly,epidemiology,mandibulofacial dysostosis with microcephaly,General Medicine & Public Health
what are the genetic changes related to mandibulofacial dysostosis with microcephaly,genetic,mandibulofacial dysostosis with microcephaly,General Medicine & Public Health
is mandibulofacial dysostosis with microcephaly inherited,genetic,mandibulofacial dysostosis with microcephaly,General Medicine & Public Health
